window_id,start_time,end_time,total_packets,total_bytes,avg_packet_size,avg_payload_size,packet_rate,small_packet_ratio,syn_count,ack_count,fin_count,label
0,1698376105.407962,1698376105.907962,2756,502668.0,182.39042089985486,114.11611030478954,5512.0,0.7300435413642961,749,2007,0,1
1,1698376105.907962,1698376106.407962,2221,430794.0,193.963980189104,125.64250337685728,4442.0,0.704637550652859,640,1581,0,1
2,1698376106.407962,1698376106.907962,4925,820389.0,166.5764467005076,98.69624365482234,9850.0,0.7669035532994923,1150,3775,0,1
3,1698376106.907962,1698376107.407962,3727,626560.0,168.11376442178695,100.19694123960289,7454.0,0.7644217869600215,881,2846,0,1
4,1698376107.407962,1698376107.907962,2945,516173.0,175.2709677419355,107.21731748726656,5890.0,0.7500848896434635,735,2210,0,1
5,1698376107.907962,1698376108.407962,3818,650781.0,170.45075955997905,102.51361969617601,7636.0,0.7582503928758513,923,2895,0,1
6,1698376108.407962,1698376108.907962,2671,464447.0,173.88506177461625,105.74653687757394,5342.0,0.7495320104829651,678,1993,0,1
7,1698376108.907962,1698376109.407962,1002,175929.0,175.57784431137725,107.65768463073853,2004.0,0.7405189620758483,236,766,0,1
8,1698376109.407962,1698376109.907962,17,3970.0,233.52941176470588,162.8235294117647,34.0,0.5882352941176471,10,7,0,1
9,1698376109.907962,1698376110.407962,5438,415191.0,76.34994483265906,10.157226921662376,10876.0,0.9764619345347554,131,5307,4883,1
10,1698376110.407962,1698376110.907962,4587,693358.0,151.15718334423372,83.57357750163506,9174.0,0.8024852844996729,893,3694,1093,1
11,1698376110.907962,1698376111.407962,3565,741611.0,208.02552594670408,139.56830294530155,7130.0,0.6720897615708274,1095,2470,0,1
12,1698376111.407962,1698376111.907962,3183,656811.0,206.3496701225259,137.73075714734526,6366.0,0.6738925541941565,1042,2141,0,1
13,1698376111.907962,1698376112.407962,3097,679792.0,219.50016144656118,151.09008718114305,6194.0,0.6477236034872457,933,2164,0,1
