flow,packet_count,total_bytes,avg_packet_len,small_packet_count,label
192.168.1.11:32768-192.168.1.10:80,9,3600.0,400.0,0.0,2
192.168.1.11:32768-192.168.1.12:80,18,5605.0,311.3888888888889,6.0,2
192.168.1.11:32770-192.168.1.10:80,18,4764.0,264.6666666666667,8.0,2
192.168.1.11:32770-192.168.1.12:80,13,3623.0,278.6923076923077,5.0,2
192.168.1.11:32772-192.168.1.10:80,10,4139.0,413.9,0.0,2
192.168.1.11:32772-192.168.1.12:80,11,3019.0,274.45454545454544,5.0,2
192.168.1.11:32774-192.168.1.10:80,12,5072.0,422.6666666666667,0.0,2
192.168.1.11:32774-192.168.1.12:80,9,1894.0,210.44444444444446,5.0,2
192.168.1.11:32775-192.168.1.12:80,4,727.0,181.75,3.0,1
192.168.1.11:32776-192.168.1.10:80,7,2984.0,426.2857142857143,0.0,2
192.168.1.11:32776-192.168.1.12:80,17,5305.0,312.05882352941177,5.0,2
192.168.1.11:32777-192.168.1.12:80,4,758.0,189.5,3.0,1
192.168.1.11:32778-192.168.1.10:80,14,3853.0,275.2142857142857,6.0,2
192.168.1.11:32778-192.168.1.12:80,11,4084.0,371.27272727272725,3.0,2
192.168.1.11:32779-192.168.1.12:80,5,831.0,166.2,4.0,1
192.168.1.11:32780-192.168.1.10:80,14,5558.0,397.0,0.0,2
192.168.1.11:32780-192.168.1.12:80,11,2874.0,261.27272727272725,5.0,2
192.168.1.11:32781-192.168.1.12:80,4,887.0,221.75,3.0,1
192.168.1.11:32782-192.168.1.10:80,21,4637.0,220.8095238095238,12.0,2
192.168.1.11:32782-192.168.1.12:80,15,4537.0,302.46666666666664,5.0,2
192.168.1.11:32783-192.168.1.12:80,4,706.0,176.5,3.0,1
192.168.1.11:32784-192.168.1.10:80,16,4349.0,271.8125,7.0,2
192.168.1.11:32784-192.168.1.12:80,13,3560.0,273.84615384615387,5.0,2
192.168.1.11:32785-192.168.1.12:80,4,586.0,146.5,3.0,1
192.168.1.11:32786-192.168.1.10:80,5,2116.0,423.2,0.0,2
192.168.1.11:32786-192.168.1.12:80,17,5617.0,330.4117647058824,5.0,2
192.168.1.11:32788-192.168.1.10:80,7,2879.0,411.2857142857143,0.0,2
192.168.1.11:32788-192.168.1.12:80,11,2795.0,254.0909090909091,5.0,2
192.168.1.11:32790-192.168.1.10:80,16,4841.0,302.5625,5.0,2
192.168.1.11:32790-192.168.1.12:80,14,3900.0,278.57142857142856,6.0,2
192.168.1.11:32792-192.168.1.10:80,11,4510.0,410.0,0.0,2
192.168.1.11:32792-192.168.1.12:80,15,4204.0,280.26666666666665,6.0,2
192.168.1.11:32793-192.168.1.12:80,4,580.0,145.0,3.0,1
192.168.1.11:32794-192.168.1.10:80,11,4469.0,406.27272727272725,0.0,2
192.168.1.11:32794-192.168.1.12:80,15,4170.0,278.0,6.0,2
192.168.1.11:32796-192.168.1.10:80,13,5517.0,424.38461538461536,0.0,2
192.168.1.11:32796-192.168.1.12:80,13,4324.0,332.61538461538464,3.0,2
192.168.1.11:32797-192.168.1.12:80,4,721.0,180.25,3.0,1
192.168.1.11:32798-192.168.1.10:80,9,3657.0,406.3333333333333,0.0,2
192.168.1.11:32798-192.168.1.12:80,10,2325.0,232.5,5.0,2
192.168.1.11:32799-192.168.1.12:80,4,647.0,161.75,3.0,1
192.168.1.11:32800-192.168.1.10:80,6,2466.0,411.0,0.0,2
192.168.1.11:32800-192.168.1.12:80,13,3975.0,305.7692307692308,5.0,2
192.168.1.11:32801-192.168.1.12:80,4,655.0,163.75,3.0,1
192.168.1.11:32802-192.168.1.10:80,5,2267.0,453.4,0.0,2
192.168.1.11:32802-192.168.1.12:80,15,4772.0,318.1333333333333,5.0,2
192.168.1.11:32803-192.168.1.12:80,4,746.0,186.5,3.0,1
192.168.1.11:32804-192.168.1.10:80,21,5390.0,256.6666666666667,10.0,2
192.168.1.11:32804-192.168.1.12:80,16,4619.0,288.6875,6.0,2
192.168.1.11:32805-192.168.1.12:80,4,775.0,193.75,3.0,1
